dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
GSE46798_exposure_corrected	prerank	Regulation of gene expression by Hypoxia-inducible Factor	0.7407621129980605	2.107010151607482	0.0037593984962406	0.5115041330099145	0.34	1/11	0.00%	EPO
GSE46798_exposure_corrected	prerank	RA biosynthesis pathway	0.5666674557661325	1.954127271530552	0.0040160642570281	0.7029649341779902	0.655	6/22	8.97%	CYP26C1;RDH10;RDH5;CYP26A1;AKR1C3;ADH4
GSE46798_exposure_corrected	prerank	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	0.6699062057452059	1.948849523066996	0.0113636363636363	0.4820667404563973	0.666	1/12	0.00%	EPO
GSE46798_exposure_corrected	prerank	Miscellaneous substrates	0.6654217304193678	1.93329464000134	0.0078431372549019	0.3896333278383533	0.692	7/11	18.39%	CYP4F3;CYP4A22;CYP2U1;CYP2W1;CYP4B1;CYP4F11;CYP4A11
GSE46798_exposure_corrected	prerank	Erythropoietin activates RAS	0.6282113918228821	1.9312984206307744	0.009090909090909	0.3145326519558203	0.695	1/14	0.00%	EPO
GSE46798_exposure_corrected	prerank	Fatty acids	0.592182255555689	1.8856954526090368	0.0118577075098814	0.3357040246803099	0.772	12/15	22.39%	CYP4F3;CYP4A22;CYP4F8;CYP4B1;CYP2B6;CYP2A13;CYP4F11;CYP2F1;CYP4A11;CYP2J2;CYP4F12;CYP2D6
GSE46798_exposure_corrected	prerank	NOTCH1 Intracellular Domain Regulates Transcription	-0.5671046553539487	-1.8555254322182424	0.0011848341232227	1.0	0.506	23/48	20.33%	HES1;HEYL;RPS27A;HDAC4;MAMLD1;TLE1;HDAC3;NBEA;HDAC10;CREBBP;MYC;HDAC2;TLE4;HES5;TBL1XR1;NCOR2;UBC;KAT2B;SKP1;HDAC6;HIF1A;RBX1;TLE2
GSE46798_exposure_corrected	prerank	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	0.6291413439270702	1.8468624594167415	0.0	0.3473948748658496	0.84	1/12	0.03%	RNF135
GSE46798_exposure_corrected	prerank	NOTCH2 intracellular domain regulates transcription	-0.7558180036518474	-1.829734870450388	0.0	1.0	0.589	6/11	12.76%	HES1;CREB1;FCER2;MAMLD1;NOTCH2;HES5
GSE46798_exposure_corrected	prerank	Signaling by NOTCH1	-0.5167354770633902	-1.8149611171184603	0.0	0.8243416014594507	0.642	32/74	20.33%	HES1;HEYL;ARRB1;RPS27A;ITCH;HDAC4;MAMLD1;TLE1;HDAC3;NBEA;HDAC10;CREBBP;MYC;HDAC2;TLE4;HES5;NEURL1;TBL1XR1;NEURL1B;NCOR2;ADAM17;JAG1;DTX2;UBC;CNTN1;KAT2B;SKP1;HDAC6;HIF1A;PSENEN;RBX1;TLE2
GSE46798_exposure_corrected	prerank	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	-0.6984145606305552	-1.783717774436934	0.0	0.7658519279338285	0.739	7/14	11.07%	FYN;SEMA3A;PLXNA4;NRP1;FARP2;PLXNA3;PLXNA1
GSE46798_exposure_corrected	prerank	Signaling by Erythropoietin	0.4871465671007453	1.7824160516246597	0.0211640211640211	0.4112698113651885	0.917	1/25	0.00%	EPO
GSE46798_exposure_corrected	prerank	RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression	-0.6010991536034035	-1.7749322705183317	0.003731343283582	0.659827227754705	0.768	14/25	24.39%	HDAC3;RORC;NCOA6;CREBBP;RORA;CPT1A;TBL1XR1;CHD9;SMARCD3;NCOA2;NR1D1;MED1;NRIP1;CARM1
